"name",2000,1000,500,250,100,50,20
"Pletters",2510,2528,2533,2491,2555,2479,2076
"cosine_similarity + euclidean_scaled",2496,2487,2507,2473,2496,2456,1761
"cosine_similarity + normalised",2540,2451,2509,2474,2529,2451,1717
"l1 + euclidean_scaled",2524,2473,2491,2483,2488,2497,1840
"l1 + normalised",2504,2452,2495,2516,2497,2456,1797
"l2 + euclidean_scaled",2449,2446,2516,2523,2447,2453,1666
"l2 + normalised",2511,2501,2533,2541,2513,2454,1721
"l3 + euclidean_scaled",2513,2536,2493,2513,2503,2420,1560
"l3 + normalised",2498,2529,2473,2488,2511,2403,1422
